Geo_Code,2026 Projected Growth 1pp HH with income 20% or under of area median household income (AMHI),2026 Projected Growth 2pp HH with income 20% or under of area median household income (AMHI),2026 Projected Growth 3pp HH with income 20% or under of area median household income (AMHI),2026 Projected Growth 4pp HH with income 20% or under of area median household income (AMHI),2026 Projected Growth 5pp HH with income 20% or under of area median household income (AMHI),2026 Projected Growth 1pp HH with income 21% to 50% of AMHI,2026 Projected Growth 2pp HH with income 21% to 50% of AMHI,2026 Projected Growth 3pp HH with income 21% to 50% of AMHI,2026 Projected Growth 4pp HH with income 21% to 50% of AMHI,2026 Projected Growth 5pp HH with income 21% to 50% of AMHI,2026 Projected Growth 1pp HH with income 51% to 80% of AMHI,2026 Projected Growth 2pp HH with income 51% to 80% of AMHI,2026 Projected Growth 3pp HH with income 51% to 80% of AMHI,2026 Projected Growth 4pp HH with income 51% to 80% of AMHI,2026 Projected Growth 5pp HH with income 51% to 80% of AMHI,2026 Projected Growth 1pp HH with income 81% to 120% of AMHI,2026 Projected Growth 2pp HH with income 81% to 120% of AMHI,2026 Projected Growth 3pp HH with income 81% to 120% of AMHI,2026 Projected Growth 4pp HH with income 81% to 120% of AMHI,2026 Projected Growth 5pp HH with income 81% to 120% of AMHI,2026 Projected Growth 1pp HH with income 121% or over of AMHI,2026 Projected Growth 2pp HH with income 121% or over of AMHI,2026 Projected Growth 3pp HH with income 121% or over of AMHI,2026 Projected Growth 4pp HH with income 121% or over of AMHI,2026 Projected Growth 5pp HH with income 121% or over of AMHI
1001,0.423011844,-0.195979899,-0.343283582,-0.409090909,0.285714286,0.356521739,0.1987061,-0.117647059,-0.177631579,-0.285714286,0.331497797,0.192558747,-0.017578125,-0.244897959,-0.344262295,0.2176,0.276515152,-0.127637131,-0.247648903,-0.092783505,0.448101266,0.35602537,0.161157025,0.085235212,-0.084650113
1002,-0.020408163,-0.611111111,0.25,0,0,0.225988701,0.474226804,-0.457142857,-0.785714286,0,-0.05,0.129411765,-0.24137931,-0.388888889,0.285714286,0.5,-0.094674556,-0.542553191,-0.555555556,-0.464285714,1.368421053,0.38974359,0.048387097,-0.116959064,-0.357142857
1003,0.538461538,-0.636363636,-1,0,0,0.410852713,0.271186441,-0.684210526,-1,0,-0.218181818,-0.056962025,-0.340909091,-0.5,-0.166666667,1.066666667,0.064285714,-0.52173913,-0.514285714,-0.125,0.125,0.284090909,0.114503817,-0.176470588,-0.490909091
1004,-0.365853659,-0.6,-1,0,0,0.406417112,-0.068493151,-0.564102564,-0.25,-1,0.307692308,0.136690647,-0.068181818,-0.32,-0.583333333,0.622222222,0.289655172,-0.34939759,-0.387755102,-0.65,0.928571429,0.190140845,0.02994012,-0.119205298,-0.203703704
1005,0.26984127,-0.227272727,-0.615384615,-1,0,0.470175439,0.180722892,-0.37704918,-0.333333333,-0.625,0.625,0.083076923,-0.170454545,-0.375,-0.615384615,0.61038961,0.193146417,-0.20979021,-0.475,-0.363636364,0.542372881,0.237410072,0.118694362,0.067307692,-0.044444444
1006,0.576271186,-0.558823529,-0.375,0,0,0.409448819,0.25,-0.37037037,-0.482758621,-1,0.344,0.243243243,-0.273809524,-0.558823529,-0.142857143,0.918032787,0.238267148,-0.186440678,-0.463636364,-0.314285714,0.607843137,0.322418136,0.127090301,0.094202899,-0.010204082
1007,-0.298507463,-0.636363636,-1,-1,0,0.21754386,0.205673759,-0.318181818,-0.333333333,0,0.336538462,0.095394737,-0.230769231,-0.540540541,-0.090909091,0.948717949,0.090062112,-0.371794872,-0.428571429,-0.12,2.125,0.315340909,0.024221453,-0.127586207,-0.19047619
1008,0.017857143,-0.805555556,-1,0,0,0.328519856,0.162162162,-0.571428571,-0.315789474,0,0.218181818,0.203296703,-0.289156627,-0.644444444,-0.631578947,0.783783784,-0.096103896,-0.379120879,-0.593495935,-0.470588235,0.548387097,0.4125,-0.05362776,-0.167272727,-0.055555556
1009,-0.230769231,-0.5,-1,0,0,0.119205298,0.366197183,-0.333333333,-1,0,0.647058824,-0.135802469,-0.135135135,-0.65,-1,0.285714286,-0.01242236,-0.318181818,-0.695652174,-0.666666667,1.090909091,0.5,-0.194805195,-0.032,-0.320754717
1010,0.666666667,-0.555555556,inf,0,0,0.112244898,0.522727273,-0.352941176,-0.36,0.25,0,-0.073770492,-0.253731343,-0.205128205,-0.318181818,0.785714286,0.036363636,-0.030612245,0.054794521,0.064516129,0,0.308571429,0.141935484,-0.09039548,-0.219178082
