Geo_Code,2026 Projected 1pp HH with income 20% or under of area median household income (AMHI),2026 Projected 2pp HH with income 20% or under of area median household income (AMHI),2026 Projected 3pp HH with income 20% or under of area median household income (AMHI),2026 Projected 4pp HH with income 20% or under of area median household income (AMHI),2026 Projected 5pp HH with income 20% or under of area median household income (AMHI),2026 Projected 1pp HH with income 21% to 50% of AMHI,2026 Projected 2pp HH with income 21% to 50% of AMHI,2026 Projected 3pp HH with income 21% to 50% of AMHI,2026 Projected 4pp HH with income 21% to 50% of AMHI,2026 Projected 5pp HH with income 21% to 50% of AMHI,2026 Projected 1pp HH with income 51% to 80% of AMHI,2026 Projected 2pp HH with income 51% to 80% of AMHI,2026 Projected 3pp HH with income 51% to 80% of AMHI,2026 Projected 4pp HH with income 51% to 80% of AMHI,2026 Projected 5pp HH with income 51% to 80% of AMHI,2026 Projected 1pp HH with income 81% to 120% of AMHI,2026 Projected 2pp HH with income 81% to 120% of AMHI,2026 Projected 3pp HH with income 81% to 120% of AMHI,2026 Projected 4pp HH with income 81% to 120% of AMHI,2026 Projected 5pp HH with income 81% to 120% of AMHI,2026 Projected 1pp HH with income 121% or over of AMHI,2026 Projected 2pp HH with income 121% or over of AMHI,2026 Projected 3pp HH with income 121% or over of AMHI,2026 Projected 4pp HH with income 121% or over of AMHI,2026 Projected 5pp HH with income 121% or over of AMHI
1001,5983.764805,643.2160804,144.4776119,38.40909091,57.85714286,15871.30435,7773.609057,1522.058824,513.9802632,107.1428571,8048.904185,10894.02415,2470.791016,838.1632653,262.295082,4632.968,12905.56818,3607.220464,1805.642633,798.3505155,4141.56962,21743.86681,13051.40496,12642.99022,3711.743792
1002,235.1020408,13.61111111,31.25,,,1330.19774,1054.072165,51.57142857,3.214285714,,270.75,1084.235294,166.8965517,33.61111111,57.85714286,292.5,692.5739645,98.35106383,71.11111111,40.17857143,532.8947368,1883.102564,1022.177419,666.6959064,144.6428571
1003,153.8461538,7.272727273,0,,,1283.875969,476.6949153,9.473684211,0,,168.0909091,702.5632911,95.56818182,30,20.83333333,320.3333333,792.8928571,105.2173913,41.28571429,30.625,101.25,1451.022727,813.5877863,403.5294118,71.27272727
1004,82.43902439,12,0,,,1849.438503,316.7123288,37.05128205,22.5,0,889.2307692,897.9856115,191.0227273,57.8,10.41666667,592.1111111,1205.827586,175.6626506,91.83673469,12.25,781.0714286,2011.338028,885.748503,585.7284768,171.2037037
1005,507.9365079,65.68181818,9.615384615,0,,3080.017544,1157.108434,118.3606557,46.66666667,5.625,1584.375,1906.215385,302.7840909,78.125,9.615384615,998.4415584,2284.875389,446.4685315,165.375,66.81818182,701.779661,3192.517986,2108.738872,1777.067308,616.3333333
1006,732.9661017,33.08823529,15.625,,,2522.913386,1218.75,107.037037,38.79310345,0,1128.96,2001.621622,221.4880952,33.08823529,51.42857143,1122.04918,2123.628159,390.5084746,158.2272727,82.28571429,659.2156863,3471.347607,1899.147157,1652.246377,480.0510204
1007,164.8507463,21.81818182,0,0,,2112.438596,1024.822695,102.2727273,26.66666667,,928.8942308,1823.832237,192.3076923,39.05405405,45.45454545,740.5128205,1913.059006,307.8205128,148.5714286,96.8,781.25,3045.014205,1515.847751,1103.603448,344.047619
1008,290.0892857,6.805555556,0,,,2444.476534,999.4594595,38.57142857,44.47368421,,816.1818182,2635.21978,209.6987952,28.44444444,12.89473684,588.6486486,1572.779221,350.7967033,101.6260163,47.64705882,371.6129032,3990.3125,1419.55836,953.4727273,401.3888889
1009,76.92307692,10,0,,,945.7284768,662.6056338,33.33333333,0,,461.1764706,604.9382716,138.3783784,12.25,0,173.5714286,785.1242236,204.5454545,31.95652174,13.33333333,240.4545455,1642.5,499.2207792,585.64,122.2641509
1010,541.6666667,26.66666667,inf,,,606.1734694,1020.227273,71.17647059,51.2,31.25,325,523.3196721,186.5671642,123.2051282,51.13636364,669.6428571,886.0909091,460.4591837,406.0958904,175.6451613,135,1498.314286,1010.612903,732.2316384,222.5342466
1011,9,22.5,,,,100.8333333,83.33333333,49,10,6.666666667,41.66666667,40,25,31.25,45,26.66666667,101.25,30.625,30,40,40,102.2727273,93.75,162,64
1101,60.95238095,20,,,,1024.700599,230.1136364,16,20,,538.5164835,710.7281553,135.1724138,23.26923077,15,498.7777778,760.1351351,182.7027027,191.0227273,15.92105263,304.2,1515.9375,633.75,437.1428571,279.3877551
