Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Canada (1) 20000 ( 5.1%),Canada,70500,14100,35250,56400,84600,"<= $14,100","$14,101 - $35,250","$35,251 - $56,400","$56,401 - $84,600",">= $84,601",1763,353,881,1410,2115,<= $353,$354 - $881,"$882 - $1,410","$1,411 - $2,115",">= $2,116"
Newfoundland and Labrador (10) 00000 ( 6.8%),Newfoundland and Labrador (Province),67500,13500,33750,54000,81000,"<= $13,500","$13,501 - $33,750","$33,751 - $54,000","$54,001 - $81,000",">= $81,001",1688,338,844,1350,2025,<= $338,$339 - $844,"$845 - $1,350","$1,351 - $2,025",">= $2,026"
Prince Edward Island (11) 00000 ( 5.6%),Prince Edward Island (Province),61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Nova Scotia (12) 00000 ( 5.5%),Nova Scotia (Province),61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
New Brunswick (13) 00000 ( 4.9%),New Brunswick (Province),59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Quebec (24) 20000 ( 4.3%),Québec (Province),60000,12000,30000,48000,72000,"<= $12,000","$12,001 - $30,000","$30,001 - $48,000","$48,001 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$301 - $750,"$751 - $1,200","$1,201 - $1,800",">= $1,801"
Ontario (35) 20000 ( 4.6%),Ontario (Province),74500,14900,37250,59600,89400,"<= $14,900","$14,901 - $37,250","$37,251 - $59,600","$59,601 - $89,400",">= $89,401",1863,373,931,1490,2235,<= $373,$374 - $931,"$932 - $1,490","$1,491 - $2,235",">= $2,236"
Manitoba (46) 00000 ( 5.3%),Manitoba (Province),69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
Saskatchewan (47) 00000 ( 6.3%),Saskatchewan (Province),77000,15400,38500,61600,92400,"<= $15,400","$15,401 - $38,500","$38,501 - $61,600","$61,601 - $92,400",">= $92,401",1925,385,963,1540,2310,<= $385,$386 - $963,"$964 - $1,540","$1,541 - $2,310",">= $2,311"
Alberta (48) 20000 ( 6.1%),Alberta (Province),95000,19000,47500,76000,114000,"<= $19,000","$19,001 - $47,500","$47,501 - $76,000","$76,001 - $114,000",">= $114,001",2375,475,1188,1900,2850,<= $475,"$476 - $1,188","$1,189 - $1,900","$1,901 - $2,850",">= $2,851"
