Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Abbotsford CY (5909052) 00000 (  3.7%),"Abbotsford CY (CSD, BC)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,"$2,700",<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Abercorn VL (2446005) 00000 (  4.3%),"Abercorn VL (CSD, QC)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Aberdeen No. 373 RM (4715018) 00000 (  6.5%),"Aberdeen No. 373 RM (CSD, SK)",168000,33600,84000,134400,201600,"<= $33,600","$33,600 - $84,000","$84,000 - $134,400","$134,400 - $201,600",">= $201,601",4200,840,2100,3360,"$5,040",<= $840,"$840 - $2,100","$2,100 - $3,360","$3,360 - $5,040",">= $5,041"
  Aberdeen T (4715019) 00000 (  1.5%),"Aberdeen T (CSD, SK)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,"$2,880",<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Abernethy No. 186 RM (4706042) 00000 (  2.7%),"Abernethy No. 186 RM (CSD, SK)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,"$2,235",<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
  Abernethy VL (4706046) 00909 (  0.0%),"Abernethy VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Abitibi (2488) 00000 (  3.3%),"Abitibi (CD, QC)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
Abitibi-Ouest (2487) 00000 (  2.9%),"Abitibi-Ouest (CD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Acadia No. 34 MD (4804001) 00000 (  7.3%),"Acadia No. 34 MD (CSD, AL)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,"$1,824",<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
