Geography,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-Owner-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-Owner-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-Owner-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-Owner-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-Owner-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-Owner-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-Owner-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-Owner-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-Owner-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-Owner-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-Owner-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-Owner-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-Renter-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-Renter-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-Renter-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-Renter-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-Renter-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-Renter-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-Renter-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-Renter-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-Renter-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-Renter-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-Renter-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-Renter-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-Total - Household size-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-Total - Household size-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-Total - Household size-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-Total - Household size-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-Total - Household size-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Household size-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-Total - Household size-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Household size-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-Total - Household size-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Household size-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-Total - Household size-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-Total - Household size-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-1 person-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-1 person-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-1 person-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-1 person-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-1 person-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-2 persons-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-2 persons-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-2 persons-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-2 persons-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-3 persons-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-3 persons-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-3 persons-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-3 persons-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-4 persons-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-4 persons-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-4 persons-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-4 persons-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Total  Private households by household income proportion to AMHI_1-Households examined for core housing need,Aboriginal household status-5 or more persons household-Total  Private households by household income proportion to AMHI_1-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 121% or more of AMHI-Households in core housing need
Ontario (Province),169725,32265,6545,4305,32055,21000,31070,6220,34670,690,65385,50,98010,6455,685,635,7280,3920,13340,1550,21600,315,55100,35,71715,25810,5865,3670,24780,17080,17730,4670,13065,370,10280,15,169725,32265,6545,4305,32055,21000,31070,6220,34670,690,65385,50,30045,10805,5255,3370,12010,7240,5975,185,4200,0,2605,0,64415,10755,960,665,12510,8255,14045,1680,15215,135,21680,20,30855,5265,250,200,4805,3475,4920,1475,6565,110,14315,0,27755,3315,50,45,2050,1510,3810,1605,5175,155,16665,0,16660,2120,30,30,685,520,2320,1275,3515,275,10115,25
"South Glengarry TP (CSD, ON)",180,0,0,0,20,0,20,0,30,0,100,0,145,0,0,0,0,0,0,0,25,0,95,0,35,0,0,0,15,0,0,0,0,0,0,0,180,0,0,0,20,0,20,0,30,0,100,0,15,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,15,0,0,0,15,0,50,0,20,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,20,0
"South Stormont TP (CSD, ON)",240,35,0,0,40,30,40,0,65,0,95,0,205,25,0,0,25,20,30,0,55,0,90,0,30,0,0,0,15,0,0,0,0,0,0,0,240,35,0,0,40,30,40,0,65,0,95,0,15,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,20,0,25,0,40,0,25,0,35,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,0,35,0
"Cornwall CY (CSD, ON)",1020,310,40,20,220,190,230,95,180,0,350,0,325,35,0,0,30,30,30,0,40,0,225,0,695,280,40,20,190,165,200,95,145,0,120,0,1020,310,40,20,220,190,230,95,180,0,350,0,235,115,30,15,130,105,30,0,40,0,0,0,345,95,0,0,65,60,80,25,55,0,145,0,205,60,0,0,25,25,75,40,30,0,75,0,150,35,0,0,0,0,45,35,35,0,70,0,80,0,0,0,0,0,0,0,30,0,55,0
"South Dundas MU (CSD, ON)",150,25,0,0,45,25,30,0,30,0,45,0,85,0,0,0,0,0,0,0,25,0,40,0,65,15,0,0,35,15,15,0,0,0,0,0,150,25,0,0,45,25,30,0,30,0,45,0,20,0,0,0,0,0,0,0,0,0,0,0,45,15,0,0,20,15,0,0,0,0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
"North Dundas TP (CSD, ON)",165,0,0,0,20,0,30,0,40,0,75,0,140,0,0,0,0,0,20,0,40,0,70,0,25,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,20,0,30,0,40,0,75,0,15,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,15,0,20,0,15,0,40,0,0,0,0,0,0,0,0,0,25,0,35,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Stormont TP (CSD, ON)",75,0,0,0,0,0,0,0,30,0,30,0,65,0,0,0,0,0,0,0,25,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Glengarry TP (CSD, ON)",110,0,0,0,30,0,0,0,35,0,35,0,60,0,0,0,0,0,0,0,15,0,20,0,45,0,0,0,0,0,0,0,20,0,0,0,110,0,0,0,30,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Hawkesbury TP (CSD, ON)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hawkesbury T (CSD, ON)",135,35,0,0,25,25,40,0,20,0,55,0,55,0,0,0,0,0,0,0,0,0,45,0,75,35,0,0,25,25,25,0,0,0,0,0,135,35,0,0,25,25,40,0,20,0,55,0,45,25,0,0,25,25,20,0,0,0,0,0,45,0,0,0,0,0,15,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Champlain TP (CSD, ON)",90,0,0,0,0,0,0,0,15,0,45,0,60,0,0,0,0,0,0,0,15,0,40,0,25,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,15,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0
"Alfred and Plantagenet TP (CSD, ON)",190,25,0,0,40,15,15,0,55,0,70,0,130,0,0,0,0,0,0,0,30,0,70,0,65,20,0,0,30,0,0,0,20,0,0,0,190,25,0,0,40,15,15,0,55,0,70,0,35,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,25,0,0,0,25,0,25,0,40,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Nation / La Nation M (CSD, ON)",195,0,0,0,15,0,50,0,45,0,80,0,150,0,0,0,0,0,30,0,35,0,75,0,45,0,0,0,0,0,15,0,0,0,0,0,195,0,0,0,15,0,50,0,45,0,80,0,15,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,15,0,0,0,20,0,45,0,0,0,0,0,0,0,0,0,20,0,35,0,0,0,0,0,0,0,0,0,15,0,40,0,0,0,0,0,0,0,0,0,20,0
"Clarence-Rockland C (CSD, ON)",535,55,0,0,85,45,60,0,155,0,240,0,415,0,0,0,35,0,30,0,130,0,220,0,120,40,0,0,50,40,30,0,25,0,15,0,535,55,0,0,85,45,60,0,155,0,240,0,50,25,0,0,35,20,0,0,0,0,0,0,205,0,0,0,25,0,20,0,75,0,80,0,95,0,0,0,0,0,0,0,20,0,45,0,95,0,0,0,0,0,0,0,25,0,65,0,90,0,0,0,0,0,0,0,25,0,50,0
"Casselman VL (CSD, ON)",65,0,0,0,0,0,0,0,0,0,35,0,55,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russell TP (CSD, ON)",295,35,0,0,55,25,55,0,65,0,115,0,235,0,0,0,15,0,45,0,55,0,115,0,55,20,0,0,40,15,0,0,0,0,0,0,295,35,0,0,55,25,55,0,65,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,25,0,30,0,30,0,45,0,55,0,0,0,25,0,0,0,0,0,15,0,55,0,0,0,0,0,0,0,20,0,35,0,35,0,0,0,0,0,0,0,0,0,15,0
"Ottawa CV (CSD, ON)",13255,2310,845,560,2450,1415,2390,335,2725,0,4845,0,6890,330,35,35,405,190,855,105,1500,0,4100,0,6360,1975,810,525,2045,1225,1535,225,1215,0,750,0,13255,2310,845,560,2450,1415,2390,335,2725,0,4845,0,2795,790,635,420,865,370,690,0,460,0,140,0,5045,745,150,100,985,605,1010,45,1275,0,1615,0,2375,390,50,35,385,280,285,75,500,0,1150,0,2105,255,0,0,180,145,265,110,330,0,1330,0,940,125,0,0,35,25,135,105,155,0,610,0
"Edwardsburgh/Cardinal TP (CSD, ON)",205,0,0,0,25,0,45,0,40,0,90,0,155,0,0,0,0,0,30,0,35,0,80,0,45,0,0,0,20,0,15,0,0,0,0,0,205,0,0,0,25,0,45,0,40,0,90,0,20,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,15,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,20,0,45,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0
"Augusta TP (CSD, ON)",115,25,0,0,35,0,0,0,30,0,35,0,100,0,0,0,25,0,0,0,25,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,115,25,0,0,35,0,0,0,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,15,0,0,0,15,0,0,0,35,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0
