Geo_Code,2026 Population Growth Rate with income 20% or under of area median household income (AMHI),2026 Population Growth Rate with income 21% to 50% of AMHI,2026 Population Growth Rate with income 51% to 80% of AMHI,2026 Population Growth Rate with income 81% to 120% of AMHI,2026 Population Growth Rate with income 121% or over of AMHI,2026 Population Growth Rate 1pp HH,2026 Population Growth Rate 2pp HH,2026 Population Growth Rate 3pp HH,2026 Population Growth Rate 4pp HH,2026 Population Growth Rate 5pp HH
1001,0.205417607,0.219339623,0.14043943,0.069691652,0.186028461,0.348256362,0.258985357,0.029312581,-0.025207501,-0.115814696
1002,-0.128571429,0.188271605,-0.003184713,-0.276923077,0.099843994,0.23030303,0.18,-0.188328912,-0.283636364,-0.327102804
1003,-0.225806452,0.221198157,-0.174216028,-0.144827586,0.036217304,0.286343612,0.106813996,-0.226804124,-0.321052632,-0.408450704
1004,-0.461538462,0.1414791,0.098765432,0.023391813,0.098995696,0.385167464,0.151975684,-0.158823529,-0.209401709,-0.359550562
1005,0,0.242592593,0.109215017,0.014388489,0.14853058,0.504966887,0.1712,-0.054517134,-0.130260521,-0.154255319
1006,0.126213592,0.203592814,0.124271845,0.063333333,0.196794301,0.488160291,0.24666073,-0.053285968,-0.132450331,-0.123376623
1007,-0.422018349,0.146090535,0.051724138,-0.056872038,0.091341579,0.286549708,0.152777778,-0.147217235,-0.237327189,-0.172413793
1008,-0.359223301,0.173824131,0.049839228,-0.216819974,0.103417266,0.3125,0.147786947,-0.217460317,-0.341935484,-0.226027397
1009,-0.384615385,0.125506073,-0.102661597,-0.235457064,0.067484663,0.21399177,0.129798903,-0.238255034,-0.313901345,-0.471264368
1010,0.214285714,0.139442231,-0.123809524,0.1,0.070723684,0.262962963,0.145580589,-0.019774011,-0.10031348,-0.13740458
1011,0,0.347826087,0.16,0.032258065,0.236363636,0.35,0.533333333,0.133333333,0.347826087,-0.210526316
1101,-0.290322581,0.020746888,0.027131783,-0.083333333,0.064272212,0.160458453,0.162447257,-0.11965812,-0.201005025,-0.382550336
1102,0.333333333,0.226203807,0.162948594,0.134539732,0.182019486,0.303221289,0.247628557,0.093916756,0.031363088,-0.064444444
1103,-0.172413793,0.167307692,0.080123267,-0.030413625,0.069731801,0.253613666,0.155645161,-0.086148649,-0.188349515,-0.173913043
