Geo_Code,2031 Population Growth Rate with income 20% or under of area median household income (AMHI),2031 Population Growth Rate with income 21% to 50% of AMHI,2031 Population Growth Rate with income 51% to 80% of AMHI,2031 Population Growth Rate with income 81% to 120% of AMHI,2031 Population Growth Rate with income 121% or over of AMHI,2031 Population Growth Rate 1pp HH,2031 Population Growth Rate 2pp HH,2031 Population Growth Rate 3pp HH,2031 Population Growth Rate 4pp HH,2031 Population Growth Rate 5pp HH
1001,-0.024799416,-0.139033228,-0.10619033,-0.06433492,-0.121763657,-0.185999421,-0.152593122,-0.009856294,0.042064439,0.155104609
1002,1.820895522,-0.090029449,-0.041834862,0.292896175,-0.076388889,-0.153922052,-0.121316077,0.373156342,1.389423077,1.018018018
1003,1.722222222,-0.102791878,0.188139059,0.177076184,-0.013395457,-0.161355385,-0.069457222,0.618135377,1.137254902,0
1004,17.45454545,-0.079175258,-0.072038619,-0.024209293,-0.069050555,-0.19450631,-0.100102845,0.317583269,0.618892508,0.722222222
1005,0.270769231,-0.137212502,-0.091642229,-0.010485985,-0.100079851,-0.223248653,-0.111944804,0.084835043,0.264808362,0.259119497
1006,0.020242915,-0.114605171,-0.106697371,-0.060365369,-0.120461095,-0.219669234,-0.144696505,0.069942719,0.208998549,0.190871369
1007,0,-0.069202173,-0.075949367,0.057682491,-0.074654887,-0.170535579,-0.10585375,0.264986968,0.547140649,0.333333333
1008,18.13333333,-0.083379966,-0.066248881,0.388908894,-0.077861953,-0.174972315,-0.097602594,0.442344045,1.264957265,0.483940043
1009,0,-0.053832651,0.041755889,0.308285164,-0.044768069,-0.144248107,-0.089142374,0.507462687,1.605177994,3.236842105
1010,-0.117647059,-0.104956268,0.074829932,-0.04567474,-0.06558642,-0.164692285,-0.102021538,0.029955947,0.165149545,0.236749117
1011,0.4,-0.182481752,-0.09569378,-0.018099548,-0.133595285,-0.186046512,-0.230563003,-0.07079646,-0.182481752,0.626262626
1101,0.377952756,-0.030883919,-0.052702099,0.107571802,-0.060455673,-0.118079096,-0.115011846,0.161702128,0.301932367,0.798004988
1102,-0.115631692,-0.146781712,-0.124366401,-0.107821406,-0.124770962,-0.17142193,-0.150558214,-0.082279229,-0.038840844,0.010606953
1103,0.37254902,-0.12139378,-0.072675957,0.011004127,-0.068107631,-0.158218126,-0.110588235,0.091146589,0.229226361,0.148717949
1201,0.330578512,-0.008174387,-0.026026026,0.204878049,-0.030424339,-0.118805786,-0.069364162,0.428035044,1.06122449,0.580645161
1202,1.205479452,-0.09543713,-0.067874605,0.140141633,-0.052261614,-0.144739217,-0.078703021,0.210169492,0.476821192,0.302919708
1203,0.375,-0.016657413,-0.06791301,0.181271908,-0.036276224,-0.122507123,-0.068389353,0.337371855,0.983050847,0.52173913
1204,0.166666667,0.001834862,-0.069417158,-0.02063185,0.000746547,-0.171491389,-0.045454545,0.359223301,0.886524823,0.098039216
1205,0.573033708,-0.000909091,-0.096330275,-0.012332245,-0.02296376,-0.098540918,-0.07991121,0.156185211,0.381818182,0.237006237
1206,0.523659306,-0.067006555,-0.08853641,-0.037190083,-0.060453015,-0.145740741,-0.095636026,0.127623369,0.27332705,0.122641509
